City,Code
Whitehorse,YXY
Victoria,YYJ
Saint John,YYT
Gander,YQX
Halifax,YHZ
Moncton,YQM
Quebec City,YQB
Saint Jean,YJN
Longueuil,YHU
Dorval,YUL
Ottawa,YOW
Oshawa,YOO
Markham,YKZ
Toronto,YTZ
Mississauga,YYZ
Hamilton,YHM
Waterloo,YKF
London,YXU
Windsor,YQG
Sault Sainte Marie,YAM
Thunder Bay,YQT
Winnipeg,YWG
Regina,YQR
Saskatoon,YXE
Fort McMurray,YMM
Edmonton,YXD
Edmonton,YEG
Yellowknife,YZF
Calgary,YYC
Prince George,YXS
Kelowna,YLW
Abbotsford,YXX
Langley,YLY
Vancouver,CXH
Richmond,YVR
Pitt Meadows,YPK
Ladner,YDT
Campbell River,YBL
Nanaimo,YCD
Victoria,YWH
Penticton,YYF
Castlegar,YCG
Prince Rupert,YPR
Terrace,YXT
Port Hardy,YZT
Smithers,YYD
Norman Wells,YVQ
Williams Lake,YWL
Fort Saint John,YXJ
Grande Prairie,YQU
Peace River,YPE
Fort Nelson,YYE
Kamloops,YKA
Cranbrook,YXC
Lethbridge,YQL
Medicine Hat,YXH
Whitecourt,YZU
Red Deer,YQF
Lloydminster,YLL
Prince Albert,YPA
La Ronge,YVC
Kenora,YQK
Sioux Lookout,YXL
Thompson,YTH
Churchill,YYQ
Brandon,YBR
High Level,YOJ
Niagra-on-the-lake,YCM
Wabush,YWK
Deer Lake,YDF
Charlottetown,YYG
Seven Islands,YZV
Saint John,YSJ
Inuvik,YEV
Iqaluit,YFB
Kuujjuaq,YVP
Radisson,YGL
Mont Jolie,YYY
Bourlamaque,YVO
McWatters,YUY
Timmins,YTS
Falconbridge,YSB
Rankin Inlet,YRT
Kingston,YGK
Gatineau,YND
North Bay,YYB
Iles-de-la-Madeleine,YGR
Mirabel,YMX
Fredericton,YFC
